sim_BioGrid_Bacillus_subtilis_168_mixed_exp;sim_BioGrid_Bacillus_subtilis_168_mixed_exp;sim_BioGrid_Bacillus_subtilis_168_mixed_exp;sim_BioGrid_Bacillus_subtilis_168_mixed_exp;sim_BioGrid_Bacillus_subtilis_168_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.28016855214602;0.489197530864198;0.3846830415;0 days 00:00:00.263461912
BC3NET;0.359931201839504;0.584876543209877;0.4724038725;0 days 00:00:23.584999892
C3NET;0.282849512931621;0.493827160493827;0.3883383367;0 days 00:00:00.367976217
CLR;0.184749559932797;0.429012345679012;0.3068809528;0 days 00:00:00.264496451
CMI2NI;0.397252257341578;0.546296296296296;0.4717742768;0 days 00:00:05.990362996
GENIE3_ET;0.380234203933985;0.515432098765432;0.4478331513;0 days 00:00:07.607887657
GENIE3_RF;0.345319418616758;0.506172839506173;0.4257461290;0 days 00:00:08.693325480
GRNBOOST2;0.20549536855091;0.432098765432099;0.3187970669;0 days 00:00:03.407925905
GRNVBEM;0.181559759157201;0.478395061728395;0.3299774104;0 days 00:00:06.611186323
INFERELATOR;0.368275100093442;0.634259259259259;0.5012671796;0 days 00:06:41.047537302
JUMP3;0.166426196593556;0.342592592592593;0.2545093945;0 days 00:00:12.568915944
KBOOST;0.305796178005236;0.385802469135802;0.3457993235;0 days 00:00:00.367974256
LEAP;0.273574313803677;0.441358024691358;0.3574661692;0 days 00:00:00.304039121
LOCPCACMI;0.432688211107492;0.672839506172839;0.5527638586;0 days 00:00:07.227956620
MEOMI;0.24035382143025;0.574074074074074;0.4072139477;0 days 00:00:13.867982315
MRNETB;0.263009296463802;0.432098765432099;0.3475540309;0 days 00:00:00.278813983
MRNET;0.294510707580665;0.524691358024691;0.4096010328;0 days 00:00:00.557132381
NARROMI;0.2;0.5;0.3500000000;0 days 00:00:10.823097271
NONLINEARODES;0.131057859686086;0.268518518518519;0.1997881891;0 days 00:00:01.247519046
PCACMI;0.397252257341578;0.546296296296296;0.4717742768;0 days 00:00:06.267155202
PCIT;0.2;0.5;0.3500000000;0 days 00:00:14.327184957
PIDC;0.307972420537654;0.54320987654321;0.4255911485;0 days 00:00:15.891208179
PLSNET;0.144982844761718;0.342592592592593;0.2437877186;0 days 00:00:08.311422281
PUC;0.33276503194568;0.521604938271605;0.4271849851;0 days 00:00:09.874422231
RSNET;0.397252257341578;0.546296296296296;0.4717742768;0 days 00:00:12.702873379
TIGRESS;0.229605949005941;0.481481481481482;0.3555437152;0 days 00:00:06.445727428
